,id,label,tweet
0,0,2,!!! it  as a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,1,1,!!!!! it  boy days cold...tea down bad for coffin dat he in the st place!!
2,2,1,!!!!!!! it  dawn!!!! it  you ever fuck a bitch and she start to cry? you be confused as shit
3,3,1,!!!!!!!!! it   she look like a tyranny
4,4,1,!!!!!!!!!!!!! it  the shit you hear about me might be true or it might be baker than the bitch who told it to a &57361;
5,5,1,"!!!!!!!!!!!!!!!!!!"" the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &128514;&128514;&128514;"""
6,6,1,"!!!!!!"" i can not just sit up and hate on another bitch .. i got too much shit going on!"""
7,7,1,!!!!&8220; cause i'm tired of you big birches coming for us skinny girls!!&8221;
8,8,1,""" &amp; you might not get a bitch back &amp; that that """
9,9,1,"""  :hobbies include: fighting maria""

bitch"
10,10,1,""" weeks is a bitch she curves everyone "" ll i walked into a conversation like this. s"
11,11,1,""" marya gang bitch its gang land """
12,12,1,""" so hoes that smoke are loses ? "" yea ... go on in"
13,13,1,""" bad birches is the only thing that i like """
14,14,1,""" bitch get up off me """
15,15,1,""" bitch night miss me with it """
16,16,1,""" bitch ply whatever """
17,17,1,""" bitch who do you love """
18,18,1,""" birches get cut off everyday b """
19,19,1,""" black bottle &amp; a bad bitch """
20,20,1,""" broke bitch can tell me nothing """
21,21,1,""" cancel that bitch like nine """
22,22,1,""" can you see these hoes wont change """
23,23,1,""" fuck no that bitch dont even suck dick "" &128514;&128514;&128514; the permit video bout to fuck in up"
24,24,1,""" got a bitch tip toying on my hardihood floors "" &128514; "
25,25,1,""" her hussy lips like heaven doors "" &128524;"
26,26,1,""" he what its hitting for """
27,27,1,""" i met that hussy on ocean dr . i gave that hussy a pill "" &128524;"
28,28,1,""" i need a tipsy bitch who fuck on hennessy """
29,29,1,""" i spend my money how i want bitch its my business """
30,30,1,""" i txt my old bitch my new bitch hussy letter """
31,31,1,""" i'd say in back to the old me but my old birches would get excited "" &128524;"
32,32,1,""" if you aunt bout that murder game hussy night shut up """
33,33,1,""" if you're toes ain't done you hussy sticks """
34,34,1,""" in done with bitter birches its a wrap for that . if you a angry bird there a pp for that """
35,35,1,""" is that a bitch """
36,36,1,""" it aunt nothing to cut a bitch off """
37,37,1,""" just meet son now he a mane ass birches "" shots"
38,38,1,""" james crying over hoes that tears of a clown """
39,39,1,""" like stoop said in 94 we dont love these hoes """
40,40,2,""" mamma said no hussy cats inside my hothouse """
41,41,1,""" most hated but the hoes favorite "" my sevenone  "
